"0700ED86D1" "0700ED86F4" "0700ED8779" "0700ED88B0" "0700ED8BA8" "0700ED8C0C" "0700ED8CD7" "0700ED90DC" "0700ED9126" "0700ED96E3" "0700ED972F" "0700ED9C52" "0700ED9D64" "0700EDA05D" "0700EDA0D5" "0700EDA69D" "0700EDA701" "0700EDA75A" "0700EDA801" "0700EDA93F" "0700EDA980" "0700EDAA73" "0700EDABAF" "0700EDAC10" "0700EDAC8D" "0700EDADC3" "0700EDB21D" "0700EDB2F0" "0700EDB2F7" "0700EDB4A3" "0700EDB5F4" "0700EDBAF4" "0700EDBC2D" "0700EDBD41" "0700EDBE65" "0700EDC066" "0700EDC181" "0700EDC274" "0700EDC5BF" "0700EDCE67" "0700EDCEC1" "0700EDCFAD" "0700EDD2D1" "0700EDD569" "0700EDDA6A" "0700EDDAD0" "0700EDDB3B" "0700EDDDD0" "0700EDDDFC" "0700EDDFD1" "0700EDE0BE" "0700EDE1F1" "0700EDE2C5" "0700EDE442" "0700EDE476" "0700EDE7B9" "0700EDED0E" "0700EDF1E7" "0700EDF5EB" "0700EDF632" "0700EDF7CF" "0700EDF954" "0700EDF99F" "0700EDFC13" "0700EDFEB4" "0700EE008D" "0700EE0188" "0700EE01F9" "0700EE0398" "0700EE03BB" "0700EE07AB" "0700EE07BA" "0700EE09D7" "0700EE0AF9" "0700EE0BCC" "0700EE0BEF" "0700EE0FED" "0700EE12BB" "0700EE166F" "0700EE1827" "0700EE18A2" "0700EE19E9" "0700EE1B4C" "0700EE1C66" "0700EE1C6A" "0700EE1E0A" "0700EE1EF3" "0700EE268A" "0700EE26BC" "0700EE2802" "0700EE286F" "0700EE2993" "0700EE2A4A" "0700EE2B22" "0700EE2C34" "0700EE302E" "0700EE30E1" "0700EE3211" "0700EE3308" "0700EE35ED" "0700EE361A" "0700EE3840" "0700EE385C" "0700EE3872" "0700EE3A07" "0700EE3CE0" "0700EE40FF" "0700EE4234" "0700EE44D4"
"0700EE1C66" 0 0 0.25 0 0.285714285714286 0 0 0 0 0 0.142857142857143 0 0 0.125 0 0 0 0 0.2 0 0.363636363636364 0 0 0.333333333333333 0 0.25 0 0 0.1 0 0 0 0 0 0.166666666666667 0.6 0 0 0 0 0 0.5 0.375 0 0 0 0.25 0 0 0 0 0.5 0 0 0 0 0 0.8 0 0 0 0 0.6 0 0 0 0 0 0 0 0.25 0 0 0 0.2 0.3 0.333333333333333 0 0 0.333333333333333 0 0 0 0 0.285714285714286 0 0 0 0.4 0 0 0 0 0.307692307692308 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0
"0700EE1C6A" 0 0 0.2 0 1 0 0 0 0 0 0.285714285714286 0 0 0.428571428571429 0 0 0 0 0.166666666666667 0 0.333333333333333 0 0 0.125 0 0.2 0 0 0.0909090909090909 0 0 0 0 0 0.333333333333333 0.125 0 0 0 0 0 0.111111111111111 0.0909090909090909 0 0 0 0.2 0 0 0 0 0.166666666666667 0 0 0 0 0 0.25 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0.166666666666667 0.285714285714286 0 0 0.307692307692308 0 0 0 0.285714285714286 0 0 0 0 0.25 0 0 0 0 0.384615384615385 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0
"0700EE1E0A" 0.166666666666667 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.428571428571429 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.166666666666667 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0.166666666666667 0 0 0 0.333333333333333 0 0.25 0 0 0 0 0 0 0 0 0.333333333333333 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0.25 0 0 0 0
"0700EE1EF3" 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0.666666666666667 0.5 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0.5 0 0 0.333333333333333 0 0 0 0.5 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0.5 0 0 0 0 0 0 0
"0700EE268A" 0.0833333333333333 0 0 0 0 0.1 0.363636363636364 0 0 0 0 0 0.111111111111111 0 0.1 0 0 0.272727272727273 0 0 0 0 0 0 0 0 0 0 0 0.4 0.1 0.3 0.2 0 0 0 0.0909090909090909 0 0.454545454545455 0 0.5 0 0 0 0 0 0 0 0.666666666666667 0.0833333333333333 0 0 0 0.1 0.222222222222222 0 0.6 0 0 0 0 0.727272727272727 0 0 0 0.2 0.222222222222222 0 0.3 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0.1 0.111111111111111 0 0 0 0.0909090909090909 0.333333333333333 0 0 0 0 0 0.222222222222222 0 0 0 0.181818181818182 0 0.111111111111111
"0700EE26BC" 0 0 0.1 0 0.25 0 0 0 0 0 0.272727272727273 0 0 0.25 0 0 0 0 0.0909090909090909 0 0.75 0 0.0909090909090909 0.272727272727273 0.1 0.1 0 0 0.0625 0 0 0 0 0 0.0833333333333333 0.272727272727273 0 0 0 0 0 0.5 0.7 0 0 0 0.1 0 0 0 0 0.2 0 0 0 0 0 0.5 0 0 0 0 0.272727272727273 0 0 0 0 0 0 0 0.1 0 0 0 0.2 0.583333333333333 0.272727272727273 0 0 0.692307692307692 0 0 0 0.4 0.25 0 0 0 0 0 0 0 0 0.769230769230769 0 0 0 0 0 0.181818181818182 0 0 0 0 0 0 0 0 0
"0700EE2802" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0.25 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE286F" 0.2 0 0 0 0 0.333333333333333 0.142857142857143 0 0 0 0 0 0 0 0.333333333333333 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 1 0 0 0 0 0 0.666666666666667 0 0.285714285714286 0 0.142857142857143 0 0 0 0 0 0 0 0.142857142857143 0.2 0.5 0 0 0 0 0 0.125 0 0 0 0 0.2 0 0 0 0.25 0.333333333333333 0 0.2 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE2993" 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0 0.166666666666667 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0.1 0 0 0 0 0 0 0.25 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0.25 0 0
"0700EE2A4A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.714285714285714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE2B22" 0 0 0.0769230769230769 0 0.384615384615385 0 0 0 0 0 0.307692307692308 0 0 0.384615384615385 0 0 0 0 0.0714285714285714 0 0.714285714285714 0 0.153846153846154 0.214285714285714 0.0769230769230769 0.0769230769230769 0 0 0.0526315789473684 0 0 0 0 0 0.142857142857143 0.214285714285714 0 0 0 0 0 0.384615384615385 0.538461538461538 0 0 0 0.0769230769230769 0 0 0 0 0.153846153846154 0 0 0 0 0 0.384615384615385 0 0 0 0 0.214285714285714 0 0 0 0 0 0 0 0.0769230769230769 0 0 0 0.153846153846154 0.692307692307692 0.307692307692308 0 0 0.785714285714286 0 0 0 0.307692307692308 0.384615384615385 0 0 0 0.769230769230769 0 0 0 0 0 0 0 0 0 0 0.230769230769231 0 0 0 0 0 0 0 0 0
"0700EE2C34" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE302E" 0 0.666666666666667 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0.125 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.166666666666667 0 0 0 0.166666666666667 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0909090909090909 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0.166666666666667 0 0
"0700EE30E1" 0 0 0 0 0 0.25 0.125 0 0 0 0 0 0.333333333333333 0 0.25 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0 0.4 0.2 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0.25 0 0 0.25 0 0 0 0 0.3 0 0 0 0.2 0 0 0 0 0 0 0 0.222222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0.333333333333333
"0700EE3211" 0 0 0 0 0 0 0 0.5 0 0 0 0.166666666666667 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0.2 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0.142857142857143 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0 0.166666666666667 0
"0700EE3308" 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0.4 0 0 0 0.6 0 0.428571428571429 0 0 0 0 0 0 0 0 0.333333333333333 0 0.285714285714286 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0
"0700EE35ED" 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0.166666666666667 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0.2 0.4 0 0 0 0 0 0.333333333333333 0.25 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0.333333333333333 0 0 0 0 0.4 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0.25 0.333333333333333 0.4 0 0 0.153846153846154 0 0 0 0.4 0.333333333333333 0 0 0 0.181818181818182 0 0 0 0 0.230769230769231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE361A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0
"0700EE3840" 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.5 0 0 0 1 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0
"0700EE385C" 0.2 0 0 0 0 0.333333333333333 0.333333333333333 0 0 0 0 0 0.5 0 0.333333333333333 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0.2 0.666666666666667 0 0 0 0 0 0.125 0 0.142857142857143 0 0 0 0 0 0 0 0.333333333333333 0.2 0 0 0 0.333333333333333 0.333333333333333 0 0.125 0 0 0 0 0.2 0 0 0 0.666666666666667 0 0 0.2 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0.222222222222222 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0.5
"0700EE3872" 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE3A07" 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0.666666666666667 0 0 0 0 0 0.333333333333333 0 0 0 0 0.285714285714286 0 0 0 0 0.5 0 0 0 0.4 0 0.125 0 0.5 0 0 0 0 0 0 0.4 0 0.333333333333333 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0
"0700EE3CE0" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE40FF" 0.142857142857143 0 0 0 0 0 0.428571428571429 0 0 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0.285714285714286 0 0.333333333333333 0.166666666666667 0 0 0 0.166666666666667 0 0.375 0 0.428571428571429 0 0 0 0 0 0 0 0.25 0.142857142857143 0 0 0 0 0.2 0 0.375 0 0 0 0 0.272727272727273 0 0 0 0 0.2 0 0.333333333333333 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.181818181818182 0 0 0 0.25 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700EE4234" 0 0 0 0 0 0 0 0 0 0.5 0 0.333333333333333 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0
"0700EE44D4" 0 0 0 0 0 0.5 0.166666666666667 0 0 0 0 0 1 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0.5 0 0 0.142857142857143 0 0 0 0 0.1 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0.5 0 0 0 0 0 0
